protocolname	led	lightamplitude	lightamplitude_rstarr	lightmean	lightmean_rstarr	startdate	enddate
LedPulse	Green LED	0.007	5	0	0	2021-01-01	2022-05-01
LedPulse	Green LED	0.012	10	0	0	2021-01-01	2022-05-01
LedPulse	Green LED	0.013	10	0	0	2021-01-01	2022-05-01
LedPulse	Green LED	0.0121	10	0	0	2021-01-01	2022-05-01
LedPulse	Green LED	0.014	10	0	0	2021-01-01	2023-12-31
LedPulse	Green LED	0.006	5	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.003	0.025	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.006	0.05	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.012	0.1	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.024	0.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.048	0.4	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.096	0.8	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.192	1.6	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.384	3.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.015	0.1	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.03	0.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.06	0.4	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.12	0.8	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.24	1.6	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.48	3.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.004	0.025	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.008	0.05	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.016	0.1	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.032	0.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.064	0.4	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.128	0.8	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.256	1.6	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.512	3.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.007	0.05	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.014	0.1	0	0	2021-01-01	2022-05-31
LedPulseFamily	Green LED	0.028	0.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.056	0.4	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.112	0.8	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.224	1.6	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.448	3.2	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.896	6.4	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.768	6.4	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.0074	0.05	0	0	2021-01-01	2022-05-01
LedPulseFamily	Green LED	0.0148	0.1	0	0	2021-01-01	2022-05-01
LedPulse	UV LED	-0.001	-250	0.005	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.003	-500	0.005	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.005	-1000	0.005	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.001	250	0.005	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.003	500	0.005	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.005	1000	0.005	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.002	250	0.007	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.004	500	0.007	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.005	750	0.007	1000	2021-01-01	2022-05-01
LedPulse	UV LED	0.007	1000	0.007	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.002	-250	0.007	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.004	-500	0.007	1000	2021-01-01	2022-05-01
LedPulse	UV LED	-0.005	-750	0.007	1000	2021-01-01	2022-05-01
